BillID,Bill Name,Bill Description,Bill Endorsement
58,11/2022 - Article 26 Main Motion,Petition for a special act regarding a methane emissions surcharge,YES
59,11/2022 - Article 28 Main Motion,Petition for a special act regarding an emissions reduction fund,YES
60,11/2022 - Article 29 Main Motion,Petition for a special act regarding a gasoline vehicle excise surcharge,YES
61,11/2022 - Article 11 Main Motion,Amend Article 5.3.9 of the Town’s General By-Law to extend demolition delay,NO
62,11/2022 - Article 12 Main Motion,Create a new Section 4.14 of the Town’s Zoning By-Law to create a temporary demolition moratorium for residential structures,NO
63,11/2022 - Article 13 Motion to Refer,,YES
64,11/2022 - Article 13 Main Motion,Amend Section 5.09 of the Town’s Zoning By-Law to require design review after the expiration of a stay of demolition,NO
65,11/2022 - Article 40 Main Motion,Resolution regarding a feasibility study for an outdoor pool,n/a
66,11/2022 - Article 41 Main Motion,Resolution regarding an affordable housing overlay district (AHOD) study committee,YES
67,5/2023 - Article 7 Bond Item 69 Fisher Amendment,,NO
68,5/2023 - Article 7 Bond Item 69 Select Board Substitute Motion,,YES
69,5/2023 - Article 7 Bond Item 69,Pierce funding,YES
70,5/2023 - Article 8 Main Motion,Annual (FY24) Community Preservation Program Budget,YES
71,5/2023 - Article 13 Main Motion,Create a new Article 3.12A of the Town’s General By-Laws to establish an Office of Housing Stability,YES
72,5/2023 - Article 14 Main Motion,Amend Article 4.08 of the Town’s Zoning By-Laws (Inclusionary Zoning) to lower the unit threshold for developments that must include onsite affordable housing units,YES
73,5/2023 - Article 15 Main Motion,"Amend Article 5.9 of the Town’s General By-Laws to clarify and update votes previously taken regarding the Stretch Code and Specialized Energy Code, and add fossil fuel free restrictions in accordance with the MA DOER Demonstration Project",YES
74,5/2023 - Article 16 Main Motion,Amend the Zoning Map and Articles 3 and 5 of the Town’s Zoning By-Laws to create a new zoning district to set forth building massing requirements in two existing T-5 (two-family) zoning districts north of Beacon Street to encourage reuse and deter demolition,Yes (but really no for T5(NH))
75,11/2023 - STM4 Article 1 Motion to Refer,,NO
76,11/2023 - STM4 Article 1 Main Motion,MBTA Communities Act – Consensus Article,YES
77,11/2023 - Article 6 Main Motion,Amend Zoning By-Law to change three lots on Mason Terrace from the SC-7 District to the M-1.5 District,YES
78,11/2023 - Article 11 Main Motion,Amend Article 3.25 of the General By-Laws to change “Community Preservation Committee” to “Community Preservation Act Committee”,YES
79,11/2023 - Article 16 Main Motion,Home Rule Petition to implement rent stabilization and tenant eviction protections,YES
80,05/2024 - Article 11 Motion to Divide the Question,,NO
81,05/2024 - Article 11 Main Motion,Annual (FY25) Community Preservation Act Fund Appropriations,YES
82,05/2024 - Article 12 Main Motion,"Accept Chapter 59, Section 5K of the General Laws, allowing an expansion of the Senior Tax work off program",YES
83,05/2024 - Article 13 Main Motion,Amend the Town’s Zoning By-law to reduce the restrictions for Accessory Dwelling Units,YES
84,05/2024 - Article 14 Main Motion,Amend the Town’s Zoning By-law to reduce the setbacks needed for energy saving devices,YES
85,,,
86,,,Precinct
87,,,Name
88,11/2024 - Article 7 Motion to Refer,Planning Depts 2.5 story height cap / Referral,NO
89,11/2024 - Article 8 Motion to Refer,Parcel size SP for 2 family conversions / Referral,NO
90,11/2024 - Article 8 Main Motion,Amend Section 5.05 of the Town’s Zoning By-Laws to allow the Zoning Board of Appeals to waive the minimum lot size requirement when granting a special permit for the conversion of single family buildings into two-family units in SC or T Districts,YES
91,11/2024 - Article 9 Motion to Refer,T + 1 referral :-(,NO
92,11/2024 - Article 10 Main Motion,". Amend Article XI (Harvard Street Form-Based Zones) of the Town’s Zoning By-Laws to increase the list of allowed exterior materials, provide greater flexibility in certain exterior elements, and make modifications to comply with state law",YES
93,11/2024 - Article 11 Main Motion,"Amend Article XI (Harvard Street Form-Based Zones) of the Town’s Zoning By-Laws to allow the Planning Board to permit substitutions or modifications to massing, façade and architecture standards",YES
94,11/2024 - Article 14 Motion to Refer,Allow separate ownership on same parcel,NO
95,11/2024 - Article 15 Main Motion,Amend Use 51B and Section 4.05.3 of the Town’s Zoning By-Law to comply with the state requirements in the Affordable Homes Act,YES
